dates,monthly_GDP,monthly_GDPDEF,CPRINDEX,TRARR,BOGNONBR,FEDFUNDS,IP,CPIAUCSL
1982-07-01,6498.91025441479,51.7849852757176,145.683385714286,22.182,21.49,12.59,50.0395,97.5
1982-08-01,6470.88200376545,51.9090110200903,144.628486363636,22.348,21.833,10.12,49.6075,97.7
1982-09-01,6490.6077418198,52.0270037041926,149.080285714286,22.686,21.752,10.31,49.4584,97.7
1982-10-01,6493.25223624383,52.393712616048,146.709642857143,22.889,22.412,9.71,49.011,98.1
1982-11-01,6505.70183399192,52.5169746126153,150.46317,23.354,22.733,9.2,48.8232,98
1982-12-01,6480.3459297643,52.538312771337,156.1443,23.6,22.966,8.95,48.4682,97.7
1983-01-01,6579.30553733709,52.8269635896053,164.6541,23.226,22.697,8.68,49.3992,97.9
1983-02-01,6548.7468182856,52.9365896596625,171.228268421053,23.901,23.319,8.51,49.089,98
1983-03-01,6606.54764437734,52.9574467507326,160.113991304348,24.414,23.621,8.77,49.4906,98.1
1983-04-01,6694.30745869027,53.1483077192308,164.48562,24.9,23.89,8.8,50.0805,98.8
1983-05-01,6736.2836488287,53.2690588649833,169.469485714286,24.86,23.907,8.63,50.4295,99.2
1983-06-01,6754.30889248111,53.3776334157863,165.968222727273,25.277,23.641,8.98,50.7333,99.4
1983-07-01,6805.24392327591,53.6613601114886,166.668255,25.356,23.903,9.37,51.5016,99.8
1983-08-01,6847.47087595776,53.8390358002429,170.730469565217,25.376,23.83,9.56,52.0679,100.1
1983-09-01,6927.28520076638,53.9686040882689,167.529514285714,25.435,23.994,9.45,52.8472,100.4
1983-10-01,6983.09368070158,54.1080037224525,162.272314285714,25.454,24.61,9.48,53.2874,100.8
1983-11-01,7001.18390563658,54.2217141239946,158.056971428571,25.396,24.491,9.34,53.4759,101.1
1983-12-01,7020.22241366187,54.3272821535534,162.494057142857,25.367,24.593,9.47,53.7593,101.4
1984-01-01,7116.51524851385,54.6120320267811,159.476014285714,25.451,24.736,9.56,54.8216,102.1
1984-02-01,7135.37795509833,54.8242246125742,161.267535,25.829,25.262,9.59,55.0698,102.6
1984-03-01,7169.90679638787,54.951743360645,166.769672727273,25.763,24.812,9.91,55.3384,102.9
1984-04-01,7227.20863090105,55.1441709134555,165.53511,25.691,24.457,10.29,55.6911,103.3
1984-05-01,7269.56745393649,55.2570173778199,163.915936363636,25.882,22.894,10.32,55.9506,103.5
1984-06-01,7301.22391516249,55.3698117087251,161.033785714286,26.094,22.794,11.06,56.1549,103.7
1984-07-01,7325.36953746593,55.5701609127759,152.8761,25.981,20.057,11.23,56.3326,104.1
1984-08-01,7341.28445763186,55.7159802970941,152.659056521739,26.04,18.023,11.64,56.3847,104.4
1984-09-01,7345.84600490225,55.8288587901305,147.703263157895,26.09,18.848,11.3,56.2832,104.7
1984-10-01,7357.59712244393,55.9707710535082,145.183773913043,26.259,20.242,9.99,56.1943,105.1
1984-11-01,7402.07674447571,56.0544126385208,147.450642857143,26.518,21.901,9.43,56.4108,105.3
1984-12-01,7428.32613308038,56.2118163079713,144.177345,26.913,23.727,8.38,56.4759,105.5
1985-01-01,7435.28738230875,56.4268334064374,142.082672727273,27.077,25.683,8.35,56.3801,105.7
1985-02-01,7474.1188914001,56.7587189829089,140.7978,27.596,26.307,8.5,56.5796,106.3
