dates,data_rs,data_ip,data_neo,data_gdp,data_uclaims
1988m11,5.964090026,1.902226122,NaN,NaN,0.236877941
1988m12,4.585730715,5.852240464,NaN,5.294784725,0.239108806
1989m1,3.788603171,3.604547816,NaN,NaN,0.23482454
1989m2,-20.10426611,-5.469265258,NaN,NaN,0.246680473
1989m3,0.931530879,2.725536133,NaN,4.045879377,0.26130637
1989m4,13.4559491,0.813263297,NaN,NaN,0.252336827
1989m5,2.14332084,-7.987420464,NaN,NaN,0.262808365
1989m6,-3.515488852,0.572566426,NaN,3.041483836,0.268559216
1989m7,2.12619215,-11.0706567,NaN,NaN,0.275557205
1989m8,18.64041593,11.03476122,NaN,NaN,0.26939742
1989m9,-4.074378959,-4.190137383,NaN,2.9525987,0.27109017
1989m10,-19.11695825,-0.781353742,NaN,NaN,0.292445919
1989m11,5.685959971,3.928164005,NaN,NaN,0.270184616
1989m12,-0.694594493,7.259878728,NaN,0.787411578,0.28530808
1990m1,25.67543409,-7.993775116,NaN,NaN,0.286888177
1990m2,-14.04764374,11.70755689,NaN,NaN,0.284981306
1990m3,-1.037437497,5.857836941,NaN,4.347450108,0.274401634
1990m4,-11.61830758,-1.824936481,NaN,NaN,0.287905196
1990m5,-4.2779045,2.557488872,NaN,NaN,0.282184077
1990m6,3.160841446,3.847403402,NaN,1.449005187,0.288597071
1990m7,-1.45177525,-1.553848206,NaN,NaN,0.291890688
1990m8,-4.149191339,3.938323003,NaN,NaN,0.304984523
1990m9,-4.203122103,1.517286193,NaN,0.266003229,0.31296667
1990m10,-3.741898068,-9.052410905,NaN,NaN,0.337513393
1990m11,-6.033335137,-14.11276545,NaN,NaN,0.354366622
1990m12,-14.47588229,-7.876008569,NaN,-3.658194758,0.360704603
1991m1,-31.60726168,-5.221017307,NaN,NaN,0.349132627
1991m2,18.59721794,-8.406547034,NaN,NaN,0.384066021
1991m3,6.801477116,-6.304182919,NaN,-1.875766529,0.394968235
1991m4,9.451730173,2.364095473,NaN,NaN,0.369227487
1991m5,-4.009910956,11.95347282,NaN,NaN,0.354267056
1991m6,-0.969223832,10.88067957,NaN,3.106778932,0.33926748
1991m7,2.179653806,1.429224273,NaN,NaN,0.33153923
1991m8,-10.19559383,1.02549662,NaN,NaN,0.342132382
1991m9,-2.351075996,10.63561337,NaN,2.016097069,0.335175681
1991m10,-9.553327363,-2.091853866,NaN,NaN,0.333815006
1991m11,1.036743731,-1.374704865,NaN,NaN,0.351536294
1991m12,-4.492173505,-4.781515817,NaN,1.391571284,0.360599697
1992m1,21.76877219,-6.731597557,NaN,NaN,0.344960357
1992m2,-1.730689244,8.565228276,NaN,NaN,0.347622379
1992m3,-7.926186832,9.930719071,NaN,4.759774649,0.336588195
1992m4,4.640125176,9.062538233,NaN,NaN,0.327164212
1992m5,3.974587924,3.907913089,NaN,NaN,0.325790866
1992m6,-0.060736429,0.171626694,NaN,4.314065576,0.325979495
1992m7,5.071013414,10.79621233,NaN,NaN,0.344383687
1992m8,1.329863288,-5.919736399,NaN,NaN,0.316608741
1992m9,8.838285514,2.784758513,NaN,3.93368184,0.324511093
1992m10,3.553044555,8.967418764,NaN,NaN,0.295096309
1992m11,-0.727716811,5.094053019,NaN,NaN,0.28203611
1992m12,12.97267043,1.083214031,NaN,4.151045081,0.263702413
1993m1,9.599147279,5.186941376,NaN,NaN,0.269158879
1993m2,-11.90966959,5.308211022,NaN,NaN,0.263315636
1993m3,-11.64975734,-1.681120303,NaN,0.669041398,0.272943592
1993m4,26.37447111,4.201975201,NaN,NaN,0.275889691
1993m5,7.998472738,-4.173218307,NaN,NaN,0.265812601
1993m6,-2.64079913,1.987946177,NaN,2.322920475,0.264853838
1993m7,15.63360743,3.697751402,NaN,NaN,0.271103658
1993m8,-2.727710475,-1.261759196,NaN,NaN,0.263078715
1993m9,5.401373851,5.725419035,NaN,1.904716792,0.262245877
1993m10,2.352491908,9.178509973,NaN,NaN,0.26996365
1993m11,8.871091299,4.961175321,NaN,NaN,0.262892122
1993m12,8.222187884,6.548121461,NaN,5.403787234,0.248574353
1994m1,-8.117876753,4.535294194,NaN,NaN,0.275046709
1994m2,15.57294979,0.32802999,NaN,NaN,0.266704421
1994m3,18.88910693,12.02959296,NaN,3.862159611,0.257476994
1994m4,-0.433134818,6.780793216,NaN,NaN,0.263357347
1994m5,-6.905150528,6.129419515,NaN,NaN,0.274508904
1994m6,10.50371288,7.634137954,NaN,5.383788886,0.260414672
1994m7,-0.238955947,1.837398538,NaN,NaN,0.261917154
1994m8,10.05009536,7.110949121,NaN,NaN,0.256141687
1994m9,7.34230692,4.565122339,NaN,2.331254314,0.25129165
1994m10,10.11271081,10.11940488,NaN,NaN,0.253066553
1994m11,-2.247915716,7.373873805,NaN,NaN,0.248690206
1994m12,3.415169843,12.53551864,NaN,4.556051973,0.244939409
1995m1,2.00860879,2.192083211,NaN,NaN,0.252578803
1995m2,-22.23617105,-1.953049822,NaN,NaN,0.255648488
1995m3,8.739216012,1.727482839,NaN,1.416513468,0.257554425
1995m4,-0.054366293,-0.766917903,NaN,NaN,0.264122483
1995m5,9.243035227,4.069361517,NaN,NaN,0.280809398
1995m6,12.40716385,4.065356575,NaN,1.191586896,0.277569364
1995m7,-4.967141812,-4.782860986,NaN,NaN,0.280634412
1995m8,6.976686133,15.05233114,NaN,NaN,0.269201124
1995m9,1.252039673,4.801977354,NaN,3.388318654,0.272978863
1995m10,-7.951737089,-1.476968709,NaN,NaN,0.279921034
1995m11,12.83197085,3.016217761,NaN,NaN,0.284283711
1995m12,8.376643807,4.570818746,NaN,2.706904251,0.275448831
1996m1,-15.95794048,-7.869794307,NaN,NaN,0.282017253
1996m2,16.54589402,18.34175698,NaN,NaN,0.283749022
1996m3,6.745203285,-1.128778592,NaN,2.984624553,0.290133654
1996m4,-0.218122331,10.92799334,NaN,NaN,0.269284681
1996m5,6.73474707,8.755755675,NaN,NaN,0.257730031
