dates,monthly_GDP,monthly_GDPDEF,CPRINDEX,TRARR,BOGNONBR,FEDFUNDS,IP,CPIAUCSL
1977-09-01,6034.36291827466,35.4672125570034,150.89419047619,18.873,18.247,6.14,49.8872,61.3
1977-10-01,6016.74427490686,35.7812435685191,149.968995238095,18.963,17.658,6.47,49.9859,61.6
1977-11-01,6011.28693728481,36.0706972594026,149.894166666667,19.012,18.15,6.51,50.0357,62
1977-12-01,6026.56878780848,36.2560591720783,142.429385714286,18.99,18.42,6.56,50.1135,62.3
1978-01-01,5973.43142099701,36.4209014141655,141.97,19.29,18.806,6.7,49.4201,62.7
1978-02-01,6015.97988038543,36.5492358865725,142.598121052632,19.561,19.155,6.78,49.6618,63
1978-03-01,6128.18869861776,36.7488626992618,146.605418181818,19.286,18.958,6.79,50.6053,63.4
1978-04-01,6244.60609066875,36.9915129553389,147.51714,19.408,18.851,6.89,51.6639,63.9
1978-05-01,6266.46007392615,37.2669900272344,146.975277272727,19.655,18.443,7.36,51.8472,64.5
1978-06-01,6310.93383540527,37.4674970174265,146.935409090909,19.868,18.774,7.6,52.2056,65
1978-07-01,6316.03371391599,37.6428941563522,144.43296,20.118,18.801,7.81,52.1834,65.5
1978-08-01,6339.70982362892,37.8300630055909,148.188530434783,19.912,18.772,8.04,52.3807,65.9
1978-09-01,6350.15646245523,38.1220428380568,154.9899,19.994,18.934,8.45,52.5124,66.5
1978-10-01,6387.52378980161,38.4675827815526,157.837236363636,20.109,18.832,8.96,52.9384,67.1
1978-11-01,6423.58158236047,38.6751088274569,161.017425,19.872,19.169,9.76,53.3363,67.5
1978-12-01,6449.79462783804,38.8403083909907,157.53476,19.753,18.885,10.03,53.6296,67.9
1979-01-01,6406.52207858058,39.0588654278962,154.548,19.821,18.818,10.07,53.2837,68.5
1979-02-01,6436.32939776352,39.3458209236824,155.505647368421,19.396,18.423,10.06,53.5675,69.2
1979-03-01,6456.14852365607,39.6513136484213,155.185368181818,19.429,18.439,10.09,53.7364,69.9
1979-04-01,6395.32835301533,39.9632280350671,155.873635,19.504,18.587,10.01,53.1571,70.6
1979-05-01,6452.75689430121,40.3122799262542,159.6946,19.553,17.788,10.24,53.5566,71.4
1979-06-01,6474.31475268363,40.6364920386787,170.023604761905,19.808,18.39,10.29,53.5534,72.2
1979-07-01,6497.18722340221,40.9197064272873,167.405976190476,19.992,18.822,10.47,53.4808,73
1979-08-01,6475.56258169065,41.1680742847023,162.947982608696,20.008,18.923,10.94,53.1195,73.7
1979-09-01,6488.55019490732,41.4072192880101,166.317284210526,20.007,18.667,11.43,53.1786,74.4
1979-10-01,6514.24024621486,41.7193097649614,166.753526086957,20.375,18.353,13.77,53.4617,75.2
1979-11-01,6500.82856218715,41.982867061849,166.563561904762,20.398,18.492,13.18,53.409,76
1979-12-01,6496.63119159816,42.2558231731895,170.715652631579,20.72,19.248,13.78,53.4536,76.9
